,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
4131,Jarome Iginla,32,2010,02/28/2010,1,0,0,1
4132,Jarkko Immonen,27,2010,02/28/2010,0,0,1,1
4133,Haley Irwin,21,2010,02/28/2010,1,0,0,1
4134,Erik Johnson,21,2010,02/28/2010,0,1,0,1
4135,Jack Johnson,23,2010,02/28/2010,0,1,0,1
4136,Rebecca Johnston,20,2010,02/28/2010,1,0,0,1
4137,Olli Jokinen,31,2010,02/28/2010,0,0,1,1
4138,Patrick Kane,21,2010,02/28/2010,0,1,0,1
4139,Niko Kapanen,31,2010,02/28/2010,0,0,1,1
4140,Michelle Karvinen,19,2010,02/28/2010,0,0,1,1
4141,Duncan Keith,26,2010,02/28/2010,1,0,0,1
4142,Becky Kellar,35,2010,02/28/2010,1,0,0,1
4143,Ryan Kesler,25,2010,02/28/2010,0,1,0,1
4144,Phil Kessel,22,2010,02/28/2010,0,1,0,1
4145,Gina Kingsbury,28,2010,02/28/2010,1,0,0,1
4146,Miikka Kiprusoff,33,2010,02/28/2010,0,0,1,1
4147,Hilary Knight,20,2010,02/28/2010,0,1,0,1
4148,Mikko Koivu,26,2010,02/28/2010,0,0,1,1
4149,Saku Koivu,35,2010,02/28/2010,0,0,1,1
4150,Lasse Kukkonen,28,2010,02/28/2010,0,0,1,1
4151,Emma Laaksonen,28,2010,02/28/2010,0,0,1,1
4152,Charlie Labonté,27,2010,02/28/2010,1,0,0,1
4153,Jocelyne Lamoureux,20,2010,02/28/2010,0,1,0,1
4154,Monique Lamoureux,20,2010,02/28/2010,0,1,0,1
4155,Jamie Langenbrunner,34,2010,02/28/2010,0,1,0,1
4156,Erika Lawler,23,2010,02/28/2010,0,1,0,1
4157,Jere Lehtinen,36,2010,02/28/2010,0,0,1,1
4158,Sami Lepistö,25,2010,02/28/2010,0,0,1,1
4159,Rosa Lindstedt,22,2010,02/28/2010,0,0,1,1
4160,Roberto Luongo,30,2010,02/28/2010,1,0,0,1
4161,Toni Lydman,32,2010,02/28/2010,0,0,1,1
4162,Carla MacLeod,27,2010,02/28/2010,1,0,0,1
4163,Ryan Malone,30,2010,02/28/2010,0,1,0,1
4164,Patrick Marleau,30,2010,02/28/2010,1,0,0,1
4165,Gigi Marvin,22,2010,02/28/2010,0,1,0,1
4166,Brianne McLaughlin,22,2010,02/28/2010,0,1,0,1
4167,Terhi Mertanen,28,2010,02/28/2010,0,0,1,1
4168,Antti Miettinen,29,2010,02/28/2010,0,0,1,1
4169,Meaghan Mikkelson,25,2010,02/28/2010,1,0,0,1
4170,Ryan Miller,29,2010,02/28/2010,0,1,0,1
4171,Brenden Morrow,31,2010,02/28/2010,1,0,0,1
4172,Rick Nash,25,2010,02/28/2010,1,0,0,1
4173,Scott Niedermayer,36,2010,02/28/2010,1,0,0,1
4174,Janne Niskala,28,2010,02/28/2010,0,0,1,1
4175,Brooks Orpik,29,2010,02/28/2010,0,1,0,1
4176,Caroline Ouellette,30,2010,02/28/2010,1,0,0,1
4177,Zach Parise,25,2010,02/28/2010,0,1,0,1
4178,Joe Pavelski,25,2010,02/28/2010,0,1,0,1
4179,Ville Peltonen,36,2010,02/28/2010,0,0,1,1
4180,Heidi Pelttari,24,2010,02/28/2010,0,0,1,1
4181,Corey Perry,24,2010,02/28/2010,1,0,0,1
4182,Cherie Piper,28,2010,02/28/2010,1,0,0,1
4183,Joni Pitkänen,26,2010,02/28/2010,0,0,1,1
4184,Mariia Posa,21,2010,02/28/2010,0,0,1,1
4185,Marie-Philip Poulin,18,2010,02/28/2010,1,0,0,1
4186,Chris Pronger,35,2010,02/28/2010,1,0,0,1
4187,Brian Rafalski,36,2010,02/28/2010,0,1,0,1
4188,Annina Rajahuhta,20,2010,02/28/2010,0,0,1,1
4189,Karoliina Rantamäki,31,2010,02/28/2010,0,0,1,1
4190,Noora Räty,20,2010,02/28/2010,0,0,1,1
4191,Mike Richards,25,2010,02/28/2010,1,0,0,1
4192,Angela Ruggiero,30,2010,02/28/2010,0,1,0,1
4193,Jarkko Ruutu,34,2010,02/28/2010,0,0,1,1
4194,Tuomo Ruutu,27,2010,02/28/2010,0,0,1,1
4195,Bobby Ryan,22,2010,02/28/2010,0,1,0,1
4196,Mari Saarinen,28,2010,02/28/2010,0,0,1,1
4197,Sami Salo,35,2010,02/28/2010,0,0,1,1
4198,Molly Schaus,21,2010,02/28/2010,0,1,0,1
4199,Jenny Schmidgall-Potter,31,2010,02/28/2010,0,1,0,1
4200,Brent Seabrook,24,2010,02/28/2010,1,0,0,1
4201,Teemu Selänne,39,2010,02/28/2010,0,0,1,1
4202,Saija Sirviö,27,2010,02/28/2010,0,0,1,1
4203,Colleen Sostorics,30,2010,02/28/2010,1,0,0,1
4204,Kim St-Pierre,31,2010,02/28/2010,1,0,0,1
4205,Eric Staal,25,2010,02/28/2010,1,0,0,1
4206,Kelli Stack,22,2010,02/28/2010,0,1,0,1
4207,Paul Stastny,24,2010,02/28/2010,0,1,0,1
4208,Ryan Suter,25,2010,02/28/2010,0,1,0,1
4209,Shannon Szabados,23,2010,02/28/2010,1,0,0,1
4210,Karen Thatcher,25,2010,02/28/2010,0,1,0,1
4211,Tim Thomas,35,2010,02/28/2010,0,1,0,1
4212,Joe Thornton,30,2010,02/28/2010,1,0,0,1
4213,Nina Tikkinen,23,2010,02/28/2010,0,0,1,1
4214,Kimmo Timonen,34,2010,02/28/2010,0,0,1,1
4215,Jonathan Toews,21,2010,02/28/2010,1,0,0,1
4216,Minnamari Tuominen,19,2010,02/28/2010,0,0,1,1
4217,Saara Tuominen,24,2010,02/28/2010,0,0,1,1
4218,Sarah Vaillancourt,24,2010,02/28/2010,1,0,0,1
4219,Linda Välimäki,19,2010,02/28/2010,0,0,1,1
4220,Jessie Vetter,24,2010,02/28/2010,0,1,0,1
4221,Marjo Voutilainen,28,2010,02/28/2010,0,0,1,1
4222,Catherine Ward,22,2010,02/28/2010,1,0,0,1
4223,Shea Weber,24,2010,02/28/2010,1,0,0,1
4224,Kerry Weiland,29,2010,02/28/2010,0,1,0,1
4225,Ryan Whitney,26,2010,02/28/2010,0,1,0,1
4226,Hayley Wickenheiser,31,2010,02/28/2010,1,0,0,1
4227,Jinelle Zaugg-Siergiej,23,2010,02/28/2010,0,1,0,1
4228,Meghan Agosta,18,2006,02/26/2006,1,0,0,1
4229,Daniel Alfredsson,33,2006,02/26/2006,1,0,0,1
4230,Cecilia Andersson,23,2006,02/26/2006,0,1,0,1
4231,Gunilla Andersson,30,2006,02/26/2006,0,1,0,1
4232,Gillian Apps,22,2006,02/26/2006,1,0,0,1
4233,Jenni Asserholt,17,2006,02/26/2006,0,1,0,1
4234,Per-Johan Axelsson,30,2006,02/26/2006,1,0,0,1
4235,Christian Bäckman,25,2006,02/26/2006,1,0,0,1
4236,Aki Berg,28,2006,02/26/2006,0,1,0,1
4237,Jennifer Botterill,26,2006,02/26/2006,1,0,0,1
4238,Jan Bulis,27,2006,02/26/2006,0,0,1,1
4239,Caitlin Cahow,20,2006,02/26/2006,0,0,1,1
4240,Petr Cajánek,30,2006,02/26/2006,0,0,1,1
4241,Cassie Campbell,32,2006,02/26/2006,1,0,0,1
4242,Julie Chu,23,2006,02/26/2006,0,0,1,1
4243,Natalie Darwitz,22,2006,02/26/2006,0,0,1,1
4244,Pam Dreyer,24,2006,02/26/2006,0,0,1,1
4245,Tricia Dunn-Luoma,31,2006,02/26/2006,0,0,1,1
4246,Ann-Louise Edstrand,30,2006,02/26/2006,0,1,0,1
4247,Joa Elfsberg,26,2006,02/26/2006,0,1,0,1
4248,Patrik Eliá,29,2006,02/26/2006,0,0,1,1
4249,Emma Eliasson,16,2006,02/26/2006,0,1,0,1
4250,Molly Engstrom,22,2006,02/26/2006,0,0,1,1
4251,Martin Erat,24,2006,02/26/2006,0,0,1,1
4252,Gillian Ferrari,25,2006,02/26/2006,1,0,0,1
4253,Peter Forsberg,32,2006,02/26/2006,1,0,0,1
4254,Danielle Goyette,40,2006,02/26/2006,1,0,0,1
4255,Chanda Gunn,26,2006,02/26/2006,0,0,1,1
4256,Jamie Hagerman,24,2006,02/26/2006,0,0,1,1
4257,Niklas Hagman,26,2006,02/26/2006,0,1,0,1
4258,Mika Hannula,26,2006,02/26/2006,1,0,0,1
4259,Dominik Haek,41,2006,02/26/2006,0,0,1,1
4260,Niclas Hävelid,32,2006,02/26/2006,1,0,0,1
4261,Jayna Hefford,28,2006,02/26/2006,1,0,0,1
4262,Milan Hejduk,30,2006,02/26/2006,0,0,1,1
4263,Ale Hemský,22,2006,02/26/2006,0,0,1,1
4264,Jukka Hentunen,31,2006,02/26/2006,0,1,0,1
4265,Milan Hnilicka,32,2006,02/26/2006,0,0,1,1
4266,Tomas Holmström,33,2006,02/26/2006,1,0,0,1
4267,Erika Holst,26,2006,02/26/2006,0,1,0,1
4268,Kim Insalaco,25,2006,02/26/2006,0,0,1,1
4269,Jaromír Jágr,34,2006,02/26/2006,0,0,1,1
4270,Nanna Jansson,22,2006,02/26/2006,0,1,0,1
4271,Jussi Jokinen,22,2006,02/26/2006,0,1,0,1
4272,Olli Jokinen,27,2006,02/26/2006,0,1,0,1
4273,Jörgen Jönsson,33,2006,02/26/2006,1,0,0,1
4274,Kenny Jönsson,31,2006,02/26/2006,1,0,0,1
4275,Frantiek Kaberle,32,2006,02/26/2006,0,0,1,1
4276,Tomá Kaberle,27,2006,02/26/2006,0,0,1,1
4277,Niko Kapanen,27,2006,02/26/2006,0,1,0,1
4278,Kathleen Kauth,26,2006,02/26/2006,0,0,1,1
4279,Becky Kellar,31,2006,02/26/2006,1,0,0,1
4280,Courtney Kennedy,26,2006,02/26/2006,0,0,1,1
4281,Katie King,30,2006,02/26/2006,0,0,1,1
4282,Kristin King,26,2006,02/26/2006,0,0,1,1
4283,Gina Kingsbury,24,2006,02/26/2006,1,0,0,1
4284,Mikko Koivu,22,2006,02/26/2006,0,1,0,1
4285,Saku Koivu,31,2006,02/26/2006,0,1,0,1
4286,Ale Kotalík,27,2006,02/26/2006,0,0,1,1
4287,Niklas Kronwall,25,2006,02/26/2006,1,0,0,1
4288,Filip Kuba,29,2006,02/26/2006,0,0,1,1
4289,Pavel Kubina,28,2006,02/26/2006,0,0,1,1
4290,Lasse Kukkonen,24,2006,02/26/2006,0,1,0,1
4291,Antti Laaksonen,32,2006,02/26/2006,0,1,0,1
4292,Charlie Labonté,23,2006,02/26/2006,1,0,0,1
4293,Robert Lang,35,2006,02/26/2006,0,0,1,1
4294,Jere Lehtinen,32,2006,02/26/2006,0,1,0,1
4295,Nicklas Lidström,35,2006,02/26/2006,1,0,0,1
4296,Ylva Lindberg,29,2006,02/26/2006,0,1,0,1
4297,Jenny Lindqvist,27,2006,02/26/2006,0,1,0,1
4298,Stefan Liv,25,2006,02/26/2006,1,0,0,1
4299,Kristina Lundberg,20,2006,02/26/2006,0,1,0,1
4300,Henrik Lundqvist,23,2006,02/26/2006,1,0,0,1
4301,Toni Lydman,28,2006,02/26/2006,0,1,0,1
4302,Carla MacLeod,23,2006,02/26/2006,1,0,0,1
4303,Marek Malík,30,2006,02/26/2006,0,0,1,1
4304,Kim Martin,19,2006,02/26/2006,0,1,0,1
4305,Fredrik Modin,31,2006,02/26/2006,1,0,0,1
4306,Frida Nevalainen,19,2006,02/26/2006,0,1,0,1
4307,Antti-Jussi Niemi,28,2006,02/26/2006,0,1,0,1
4308,Ville Nieminen,28,2006,02/26/2006,0,1,0,1
4309,Antero Niittymäki,25,2006,02/26/2006,0,1,0,1
4310,Fredrik Norrena,32,2006,02/26/2006,0,1,0,1
4311,Petteri Nummelin,33,2006,02/26/2006,0,1,0,1
4312,Teppo Numminen,37,2006,02/26/2006,0,1,0,1
4313,Emilie O'Konor,22,2006,02/26/2006,0,1,0,1
4314,Mattias Öhlund,29,2006,02/26/2006,1,0,0,1
4315,Rostislav Olesz,20,2006,02/26/2006,0,0,1,1
4316,Caroline Ouellette,26,2006,02/26/2006,1,0,0,1
4317,Samuel Påhlsson,28,2006,02/26/2006,1,0,0,1
4318,Sarah Parsons,18,2006,02/26/2006,0,0,1,1
4319,Ville Peltonen,32,2006,02/26/2006,0,1,0,1
4320,Cherie Piper,24,2006,02/26/2006,1,0,0,1
4321,Cheryl Pounder,29,2006,02/26/2006,1,0,0,1
4322,Václav Prospal,30,2006,02/26/2006,0,0,1,1
4323,Helen Resor,20,2006,02/26/2006,0,0,1,1
4324,Maria Rooth,26,2006,02/26/2006,0,1,0,1
4325,Martin Rucinský,34,2006,02/26/2006,0,0,1,1
4326,Angela Ruggiero,26,2006,02/26/2006,0,0,1,1
4327,Danijela Rundqvist,21,2006,02/26/2006,0,1,0,1
4328,Jarkko Ruutu,30,2006,02/26/2006,0,1,0,1
4329,Sami Salo,31,2006,02/26/2006,0,1,0,1
4330,Mikael Samuelsson,29,2006,02/26/2006,1,0,0,1
4331,Jenny Schmidgall-Potter,27,2006,02/26/2006,0,0,1,1
4332,Daniel Sedin,25,2006,02/26/2006,1,0,0,1
4333,Henrik Sedin,25,2006,02/26/2006,1,0,0,1
4334,Teemu Selänne,35,2006,02/26/2006,0,1,0,1
4335,Therese Sjölander,24,2006,02/26/2006,0,1,0,1
4336,Colleen Sostorics,26,2006,02/26/2006,1,0,0,1
4337,Jaroslav pacek,32,2006,02/26/2006,0,0,1,1
4338,Kim St-Pierre,27,2006,02/26/2006,1,0,0,1
4339,Kelly Stephens,22,2006,02/26/2006,0,0,1,1
4340,Martin Straka,33,2006,02/26/2006,0,0,1,1
4341,Mats Sundin,35,2006,02/26/2006,1,0,0,1
4342,Ronnie Sundin,35,2006,02/26/2006,1,0,0,1
4343,Vicky Sunohara,35,2006,02/26/2006,1,0,0,1
4344,Mikael Tellqvist,26,2006,02/26/2006,1,0,0,1
4345,Katarina Timglas,20,2006,02/26/2006,0,1,0,1
4346,Kimmo Timonen,30,2006,02/26/2006,0,1,0,1
4347,Daniel Tjärnqvist,29,2006,02/26/2006,1,0,0,1
4348,Sarah Vaillancourt,20,2006,02/26/2006,1,0,0,1
4349,Anna Vikman,25,2006,02/26/2006,0,1,0,1
4350,Tomá Vokoun,29,2006,02/26/2006,0,0,1,1
4351,David Výborný,31,2006,02/26/2006,0,0,1,1
4352,Lyndsay Wall,20,2006,02/26/2006,0,0,1,1
4353,Katie Weatherston,22,2006,02/26/2006,1,0,0,1
4354,Krissy Wendell,24,2006,02/26/2006,0,0,1,1
4355,Hayley Wickenheiser,27,2006,02/26/2006,1,0,0,1
4356,Pernilla Winberg,16,2006,02/26/2006,0,1,0,1
4357,Henrik Zetterberg,25,2006,02/26/2006,1,0,0,1
4358,Marek idlický,29,2006,02/26/2006,0,0,1,1
4359,Maksim Afinogenov,22,2002,02/24/2002,0,0,1,1
4360,Annica Åhlén,27,2002,02/24/2002,0,0,1,1
4361,Lotta Almblad,29,2002,02/24/2002,0,0,1,1
4362,Tony Amonte,31,2002,02/24/2002,0,1,0,1
4363,Anna Andersson,20,2002,02/24/2002,0,0,1,1
4364,Gunilla Andersson,26,2002,02/24/2002,0,0,1,1
4365,Dana Antal,24,2002,02/24/2002,1,0,0,1
4366,Chris Bailey,30,2002,02/24/2002,0,1,0,1
4367,Laurie Baker,25,2002,02/24/2002,0,1,0,1
4368,Tom Barrasso,36,2002,02/24/2002,0,1,0,1
4369,Kelly Béchard,24,2002,02/24/2002,1,0,0,1
4370,Emelie Berggren,19,2002,02/24/2002,0,0,1,1
4371,Kristina Bergstrand,38,2002,02/24/2002,0,0,1,1
4372,Rob Blake,32,2002,02/24/2002,1,0,0,1
4373,Jennifer Botterill,22,2002,02/24/2002,1,0,0,1
4374,Eric Brewer,22,2002,02/24/2002,1,0,0,1
4375,Thérèse Brisson,35,2002,02/24/2002,1,0,0,1
4376,Martin Brodeur,29,2002,02/24/2002,1,0,0,1
4377,Pavel Bure,30,2002,02/24/2002,0,0,1,1
4378,Valery Bure,27,2002,02/24/2002,0,0,1,1
4379,Karyn Bye,30,2002,02/24/2002,0,1,0,1
4380,Cassie Campbell,28,2002,02/24/2002,1,0,0,1
4381,Isabelle Chartrand,23,2002,02/24/2002,1,0,0,1
4382,Chris Chelios,40,2002,02/24/2002,0,1,0,1
4383,Julie Chu,19,2002,02/24/2002,0,1,0,1
4384,Natalie Darwitz,18,2002,02/24/2002,0,1,0,1
4385,Pavel Datsyuk,23,2002,02/24/2002,0,0,1,1
4386,Adam Deadmarsh,26,2002,02/24/2002,0,1,0,1
4387,Sara DeCosta,24,2002,02/24/2002,0,1,0,1
4388,Chris Drury,25,2002,02/24/2002,0,1,0,1
4389,Mike Dunham,29,2002,02/24/2002,0,1,0,1
4390,Tricia Dunn-Luoma,27,2002,02/24/2002,0,1,0,1
4391,Lori Dupuis,29,2002,02/24/2002,1,0,0,1
4392,Ann-Louise Edstrand,26,2002,02/24/2002,0,0,1,1
4393,Joa Elfsberg,22,2002,02/24/2002,0,0,1,1
4394,Theo Fleury,33,2002,02/24/2002,1,0,0,1
4395,Adam Foote,30,2002,02/24/2002,1,0,0,1
4396,Sergey Fyodorov,32,2002,02/24/2002,0,0,1,1
4397,Simon Gagné,21,2002,02/24/2002,1,0,0,1
4398,Sergey Gonchar,27,2002,02/24/2002,0,0,1,1
4399,Danielle Goyette,36,2002,02/24/2002,1,0,0,1
4400,Cammi Granato,30,2002,02/24/2002,0,1,0,1
4401,Bill Guerin,31,2002,02/24/2002,0,1,0,1
4402,Geraldine Heaney,34,2002,02/24/2002,1,0,0,1
4403,Jayna Hefford,24,2002,02/24/2002,1,0,0,1
4404,Erika Holst,22,2002,02/24/2002,0,0,1,1
4405,Phil Housley,37,2002,02/24/2002,0,1,0,1
4406,Brett Hull,37,2002,02/24/2002,0,1,0,1
4407,Jarome Iginla,24,2002,02/24/2002,1,0,0,1
4408,Nanna Jansson,18,2002,02/24/2002,0,0,1,1
4409,Curtis Joseph,34,2002,02/24/2002,1,0,0,1
4410,Ed Jovanovski,25,2002,02/24/2002,1,0,0,1
4411,Paul Kariya,27,2002,02/24/2002,1,0,0,1
4412,Darius Kasparaitis,29,2002,02/24/2002,0,0,1,1
4413,Becky Kellar,27,2002,02/24/2002,1,0,0,1
4414,Courtney Kennedy,22,2002,02/24/2002,0,1,0,1
4415,Nikolay Khabibulin,29,2002,02/24/2002,0,0,1,1
4416,Andrea Kilbourne,21,2002,02/24/2002,0,1,0,1
4417,Katie King,26,2002,02/24/2002,0,1,0,1
4418,Ilya Kovalchuk,18,2002,02/24/2002,0,0,1,1
4419,Aleksey Kovalyov,28,2002,02/24/2002,0,0,1,1
4420,Igor Kravchuk,35,2002,02/24/2002,0,0,1,1
4421,Oleg Kvasha,23,2002,02/24/2002,0,0,1,1
4422,Igor Larionov,41,2002,02/24/2002,0,0,1,1
4423,Maria Larsson,22,2002,02/24/2002,0,0,1,1
4424,John LeClair,32,2002,02/24/2002,0,1,0,1
4425,Brian Leetch,33,2002,02/24/2002,0,1,0,1
4426,Mario Lemieux,36,2002,02/24/2002,1,0,0,1
4427,Ylva Lindberg,25,2002,02/24/2002,0,0,1,1
4428,Eric Lindros,28,2002,02/24/2002,1,0,0,1
4429,Ulrica Lindström,22,2002,02/24/2002,0,0,1,1
4430,Shelley Looney,30,2002,02/24/2002,0,1,0,1
4431,Al MacInnis,38,2002,02/24/2002,1,0,0,1
4432,Vladimir Malakhov,33,2002,02/24/2002,0,0,1,1
4433,Danny Markov,25,2002,02/24/2002,0,0,1,1
4434,Kim Martin,15,2002,02/24/2002,0,0,1,1
4435,Sue Merz,29,2002,02/24/2002,0,1,0,1
4436,Aaron Miller,30,2002,02/24/2002,0,1,0,1
4437,Boris Mironov,29,2002,02/24/2002,0,0,1,1
4438,A. J. Mleczko,26,2002,02/24/2002,0,1,0,1
4439,Mike Modano,31,2002,02/24/2002,0,1,0,1
4440,Tara Mounsey,23,2002,02/24/2002,0,1,0,1
4441,Scott Niedermayer,28,2002,02/24/2002,1,0,0,1
4442,Joe Nieuwendyk,35,2002,02/24/2002,1,0,0,1
4443,Andrey Nikolishin,28,2002,02/24/2002,0,0,1,1
4444,Owen Nolan,29,2002,02/24/2002,1,0,0,1
4445,Caroline Ouellette,22,2002,02/24/2002,1,0,0,1
4446,Mike Peca,27,2002,02/24/2002,1,0,0,1
4447,Josefin Pettersson,18,2002,02/24/2002,0,0,1,1
4448,Cherie Piper,20,2002,02/24/2002,1,0,0,1
4449,Tom Poti,24,2002,02/24/2002,0,1,0,1
4450,Cheryl Pounder,25,2002,02/24/2002,1,0,0,1
4451,Chris Pronger,27,2002,02/24/2002,1,0,0,1
4452,Brian Rafalski,28,2002,02/24/2002,0,1,0,1
4453,Mike Richter,35,2002,02/24/2002,0,1,0,1
4454,Jeremy Roenick,32,2002,02/24/2002,0,1,0,1
4455,Brian Rolston,28,2002,02/24/2002,0,1,0,1
4456,Maria Rooth,22,2002,02/24/2002,0,0,1,1
4457,Angela Ruggiero,22,2002,02/24/2002,0,1,0,1
4458,Danijela Rundqvist,17,2002,02/24/2002,0,0,1,1
4459,Joe Sakic,32,2002,02/24/2002,1,0,0,1
4460,Sergey Samsonov,23,2002,02/24/2002,0,0,1,1
4461,Evelina Samuelsson,17,2002,02/24/2002,0,0,1,1
4462,Jenny Schmidgall-Potter,23,2002,02/24/2002,0,1,0,1
4463,Brendan Shanahan,33,2002,02/24/2002,1,0,0,1
4464,Tammy Lee Shewchuk,24,2002,02/24/2002,1,0,0,1
4465,Therese Sjölander,20,2002,02/24/2002,0,0,1,1
4466,Sami Jo Small,25,2002,02/24/2002,1,0,0,1
4467,Ryan Smyth,25,2002,02/24/2002,1,0,0,1
4468,Colleen Sostorics,22,2002,02/24/2002,1,0,0,1
4469,Kim St-Pierre,23,2002,02/24/2002,1,0,0,1
4470,Vicky Sunohara,31,2002,02/24/2002,1,0,0,1
4471,Gary Suter,37,2002,02/24/2002,0,1,0,1
4472,Keith Tkachuk,29,2002,02/24/2002,0,1,0,1
4473,Sarah Tueting,25,2002,02/24/2002,0,1,0,1
4474,Oleg Tverdovsky,25,2002,02/24/2002,0,0,1,1
4475,Anna Vikman,21,2002,02/24/2002,0,0,1,1
4476,Lyndsay Wall,16,2002,02/24/2002,0,1,0,1
4477,Doug Weight,31,2002,02/24/2002,0,1,0,1
4478,Krissy Wendell,20,2002,02/24/2002,0,1,0,1
4479,Hayley Wickenheiser,23,2002,02/24/2002,1,0,0,1
4480,Aleksey Yashin,28,2002,02/24/2002,0,0,1,1
4481,Mike York,24,2002,02/24/2002,0,1,0,1
4482,Scott Young,34,2002,02/24/2002,0,1,0,1
4483,Steve Yzerman,36,2002,02/24/2002,1,0,0,1
4484,Aleksey Zhamnov,31,2002,02/24/2002,0,0,1,1
4485,,,2012,08/12/2012,0,1,0,1
4486,,,2012,08/12/2012,0,1,0,1
4487,Marilyn Agliotti,33,2012,08/12/2012,1,0,0,1
4488,Lucha Aymar,34,2012,08/12/2012,0,1,0,1
4489,Sander Baart,24,2012,08/12/2012,0,1,0,1
4490,Billy Bakker,23,2012,08/12/2012,0,1,0,1
4491,Marcel Balkestein,31,2012,08/12/2012,0,1,0,1
4492,Ashleigh Ball,26,2012,08/12/2012,0,0,1,1
4493,Noel Barrionuevo,28,2012,08/12/2012,0,1,0,1
4494,Laura Bartlett,24,2012,08/12/2012,0,0,1,1
4495,Nathan Burgers,33,2012,08/12/2012,0,0,1,1
4496,Matthew Butturini,24,2012,08/12/2012,0,0,1,1
4497,Joel Carroll,25,2012,08/12/2012,0,0,1,1
4498,Martina Cavallero,22,2012,08/12/2012,0,1,0,1
4499,Chris Ciriello,26,2012,08/12/2012,0,0,1,1
4500,Crista Cullen,26,2012,08/12/2012,0,0,1,1
4501,Silvina D'Elia,26,2012,08/12/2012,0,1,0,1
4502,Alex Danson,27,2012,08/12/2012,0,0,1,1
4503,Merel de Blaey,25,2012,08/12/2012,1,0,0,1
4504,Eva de Goede,23,2012,08/12/2012,1,0,0,1
4505,Teun de Nooijer,36,2012,08/12/2012,0,1,0,1
4506,Bob de Voogd,23,2012,08/12/2012,0,1,0,1
4507,Sander de Wijn,22,2012,08/12/2012,0,1,0,1
4508,Liam De Young,30,2012,08/12/2012,0,0,1,1
4509,Timothy Deavin,28,2012,08/12/2012,0,0,1,1
4510,Oskar Deecke,26,2012,08/12/2012,1,0,0,1
4511,Carlien Dirkse van den Heuvel,25,2012,08/12/2012,1,0,0,1
4512,Jamie Dwyer,33,2012,08/12/2012,0,0,1,1
4513,Floris Evers,29,2012,08/12/2012,0,1,0,1
4514,Russell Ford,28,2012,08/12/2012,0,0,1,1
4515,Florian Fuchs,20,2012,08/12/2012,1,0,0,1
4516,Moritz Fürste,27,2012,08/12/2012,1,0,0,1
4517,Maartje Goderie,28,2012,08/12/2012,1,0,0,1
4518,Matt Gohdes,22,2012,08/12/2012,0,0,1,1
4519,Kieran Govers,24,2012,08/12/2012,0,0,1,1
4520,Florencia Habif,18,2012,08/12/2012,0,1,0,1
4521,Martin Häner,23,2012,08/12/2012,1,0,0,1
4522,Tobias Hauke,24,2012,08/12/2012,1,0,0,1
4523,Rogier Hofman,25,2012,08/12/2012,0,1,0,1
4524,Ellen Hoog,26,2012,08/12/2012,1,0,0,1
4525,Tim Jenniskens,25,2012,08/12/2012,0,1,0,1
4526,Wouter Jolie,27,2012,08/12/2012,0,1,0,1
4527,Kelly Jonker,22,2012,08/12/2012,1,0,0,1
4528,Fergus Kavanagh,27,2012,08/12/2012,0,0,1,1
4529,Robbert Kemperman,22,2012,08/12/2012,0,1,0,1
4530,Mark Knowles,27,2012,08/12/2012,0,0,1,1
4531,Oliver Korn,28,2012,08/12/2012,1,0,0,1
4532,Kim Lammers,31,2012,08/12/2012,1,0,0,1
4533,Rosario Luchetti,28,2012,08/12/2012,0,1,0,1
4534,Sofia Maccari,28,2012,08/12/2012,0,1,0,1
4535,Hannah Macleod,28,2012,08/12/2012,0,0,1,1
4536,Emily Maguire,24,2012,08/12/2012,0,0,1,1
4537,Delfina Merino,22,2012,08/12/2012,0,1,0,1
4538,Max Müller,25,2012,08/12/2012,1,0,0,1
4539,María Mutio,27,2012,08/12/2012,0,1,0,1
4540,Eddie Ockenden,25,2012,08/12/2012,0,0,1,1
4541,Simon Orchard,26,2012,08/12/2012,0,0,1,1
4542,Ann Panter,28,2012,08/12/2012,0,0,1,1
4543,Maartje Paumen,26,2012,08/12/2012,1,0,0,1
4544,Sophie Polkamp,27,2012,08/12/2012,1,0,0,1
4545,Jan Philipp Rabente,25,2012,08/12/2012,1,0,0,1
4546,Carla Rebecchi,27,2012,08/12/2012,0,1,0,1
4547,Helen Richardson,30,2012,08/12/2012,0,0,1,1
4548,Ana Rodríguez,31,2012,08/12/2012,0,1,0,1
4549,Chloe Rogers,27,2012,08/12/2012,0,0,1,1
4550,Rocio Sánchez,23,2012,08/12/2012,0,1,0,1
4551,Maru Scarone,25,2012,08/12/2012,0,1,0,1
4552,Joyce Sombroek,21,2012,08/12/2012,1,0,0,1
4553,Dani Sruoga,24,2012,08/12/2012,0,1,0,1
4554,Jose Sruoga,21,2012,08/12/2012,0,1,0,1
4555,Jaap Stockmann,28,2012,08/12/2012,0,1,0,1
4556,Beth Storry,34,2012,08/12/2012,0,0,1,1
4557,Thilo Stralkowski,25,2012,08/12/2012,1,0,0,1
4558,Matthew Swann,23,2012,08/12/2012,0,0,1,1
4559,Sarah Thomas,31,2012,08/12/2012,0,0,1,1
4560,Glenn Turner,28,2012,08/12/2012,0,0,1,1
4561,Georgie Twigg,21,2012,08/12/2012,0,0,1,1
4562,Laura Unsworth,24,2012,08/12/2012,0,0,1,1
4563,Naomi van As,29,2012,08/12/2012,1,0,0,1
