,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
730,Bilyal Makhov,24,2012,08/12/2012,0,0,1,1
731,Gyuzel Manyurova,34,2012,08/12/2012,0,0,1,1
732,Dato Marsagishvili,21,2012,08/12/2012,0,0,1,1
733,Ryutaro Matsumoto,26,2012,08/12/2012,0,0,1,1
734,Péter Módos,24,2012,08/12/2012,0,0,1,1
735,Davit Modzmanashvili,25,2012,08/12/2012,0,1,0,1
736,Heiki Nabi,27,2012,08/12/2012,0,1,0,1
737,Omid Noroozi,26,2012,08/12/2012,1,0,0,1
738,Hitomi Obara,31,2012,08/12/2012,1,0,0,1
739,Dzhamal Otarsultanov,25,2012,08/12/2012,1,0,0,1
740,Xetaq Qazyumov,29,2012,08/12/2012,0,0,1,1
741,Yuliya Ratkeviç,27,2012,08/12/2012,0,0,1,1
742,Jackeline Rentería,26,2012,08/12/2012,0,0,1,1
743,Ghasem Rezaei,26,2012,08/12/2012,1,0,0,1
744,Coleman Scott,26,2012,08/12/2012,0,0,1,1
745,Mingiyan Semyonov,22,2012,08/12/2012,0,0,1,1
746,Soronzonboldyn Battsetseg,22,2012,08/12/2012,0,0,1,1
747,Hamid Soryan,26,2012,08/12/2012,1,0,0,1
748,Mariya Stadnik,24,2012,08/12/2012,0,1,0,1
749,S?rif S?rifov,23,2012,08/12/2012,1,0,0,1
750,Akzhurek Tanatarov,25,2012,08/12/2012,0,0,1,1
751,Artur Taymazov,33,2012,08/12/2012,1,0,0,1
752,Soslan Tigiyev,28,2012,08/12/2012,0,0,1,1
753,Rustam Totrov,28,2012,08/12/2012,0,1,0,1
754,Denis Tsargush,24,2012,08/12/2012,0,0,1,1
755,Manuchar Tskhadaia,27,2012,08/12/2012,0,0,1,1
756,Maider Unda,35,2012,08/12/2012,0,0,1,1
757,Jake Varner,26,2012,08/12/2012,1,0,0,1
758,Tonya Verbeek,34,2012,08/12/2012,0,1,0,1
759,Roman Vlasov,21,2012,08/12/2012,1,0,0,1
760,Lyubov Volosova,29,2012,08/12/2012,0,0,1,1
761,Nataliya Vorobyova,21,2012,08/12/2012,1,0,0,1
762,Yang Kyong-Il,23,2012,08/12/2012,0,0,1,1
763,Tatsuhiro Yonemitsu,26,2012,08/12/2012,1,0,0,1
764,Saori Yoshida,29,2012,08/12/2012,1,0,0,1
765,Shinichi Yumoto,27,2012,08/12/2012,0,0,1,1
766,Stanka Zlateva,29,2012,08/12/2012,0,1,0,1
767,Emin ?hm?dov,25,2012,08/12/2012,0,0,1,1
768,Togrul ?sg?rov,19,2012,08/12/2012,1,0,0,1
769,Yusuf Abdusalomov,30,2008,08/24/2008,0,1,0,1
770,Bakhtiyar Akhmedov,21,2008,08/24/2008,0,1,0,1
771,Islam-Beka Albiyev,19,2008,08/24/2008,1,0,0,1
772,Roman Amoyan,24,2008,08/24/2008,0,0,1,1
773,Nazmi Avluca,31,2008,08/24/2008,0,0,1,1
774,Khasan Baroyev,25,2008,08/24/2008,0,1,0,1
